1284,Μιχ. Αντωνιάδης,false,false,false,,false
1285,Ζαφειρίου,false,false,false,,false
1286,Ι. Κοζαντζάς,false,false,false,,false
1287,Λ. Καρβούνης,false,false,false,,false
1288,Ξενάκης,false,false,false,,false
1289,Θ. Κρυστάλλης,false,false,false,,false
1290,Β. Παπαβασιλείου,false,false,false,,false
1291,Μπέλλος,false,false,false,,false
1292,Κούλης Σκαρπέλης,false,false,false,,false
1293,Γιά. Σταματάκης,false,false,false,,false
1294,Κ. Γκρίζαλης ;,false,false,false,,false
1295,Beretta,false,false,false,,false
1296,Γραμμ. Θεοδωροπούλου,false,false,false,,false
1297,Μ. Σωτηρίου,false,false,false,,false
1298,Ανθ. Μπουζάνη,false,false,false,,false
1299,Ρένα Ψαρά,false,false,false,,false
1300,"Άρης Τασούλης, Σταύρος Λογαρίδης",false,false,false,,false
1301,Witly Rozier - απόδοση στα ελλην. Γιώ. Παπαστεφάνου,false,false,false,,false
1302,Στεφ. Κιουπρούλης,false,false,false,,false
1303,Α. Αθανασίου,false,false,false,,false
1304,Κ. Γεωργουσόπουλου,false,false,false,,false
1305,Γιώ. Καφετζόπουλος,false,false,false,,false
1306,Γιά. Δραγάτσης (Ογδοντάκης) (Μ. Μάτσας ;),false,false,false,,false
1307,Δ. Ντούμας,false,false,false,,false
1308,συνδετικά κείμενα Πάνος Θεοδωρίδης,false,false,false,,false
1309,Ελ. Μωραΐτου (Μ. Μάτσας),false,false,false,,false
1310,Ν. (Βαγγ.) Παπάζογλου,false,false,false,,false
1311,Λευτ. Κωνσταντινίδης,false,false,false,,false
1312,Ι. Τάχτας,false,false,false,,false
1313,"Αρλέτα, Brewis",false,false,false,,false
1314,Cole Porter,false,false,false,,false
1315,Δημ. Λειβαδίτης,false,false,false,,false
1316,Λένα Στρογγυλού,false,false,false,,false
1317,D. Modugnoi,false,false,false,,false
1318,Γιώ. Μανίκας,false,false,false,,false
1319,παραδοσιακό βλάχικο,false,false,false,,false
1320,Αντ. Δασκαλάκης,false,false,false,,false
1321,Μ. Μαρτίνος,false,false,false,,false
1322,Στ. Μίνωος ;,false,false,false,,false
1323,"Γιά. Κακουλίδης, Χάρρυ Κλύνν",false,false,false,,false
1324,Marie-Ange Chapelain,false,false,false,,false
1325,Γιώ. Παπανδρέου ;,false,false,false,,false
1326,Βασ. Ζαλιμίδης ;,false,false,false,,false
1327,Γκούτης ή Ρεπάνης,false,false,false,,false
1328,Ζαμπέτας (Μητσάκης),false,false,false,,false
1329,παραδοσιακό Ισπανίας - διασκευή Νταλάρας,false,false,false,,false
1330,Mario Panzeri,false,false,false,,false
1331,Ηλ. Ωρολογάς,false,false,false,,false
1332,"Γ. Νάκος, Οδ. Χατζηλιάς",false,false,false,,false
1333,Polluk-Αντωνόπουλος,false,false,false,,false
1334,"Ι. Φερμάνογλου, Φ. Μιχαλάτος",false,false,false,,false
1335,Κ. Τσάντες,false,false,false,,false
1336,Sergio Enrico,false,false,false,,false
1337,Γ. Αρσενίδης,false,false,false,,false
1338,Κ. Ποντίκας,false,false,false,,false
1339,Γιά. Κοντός,false,false,false,,false
1340,Άγγελ. Σφακιανάκης,false,false,false,,false
1341,Λήδα Χαλκιαδάκη,false,false,false,,false
1342,Singleton,false,false,false,,false
1343,Ελ. Χατζηιορδάνου ;,false,false,false,,false
1344,Juan Mostazo,false,false,false,,false
1345,W. Shanklin,false,false,false,,false
1346,José Manuel Juan Sentis,false,false,false,,false
1347,"R. Carlos, Ecarlos",false,false,false,,false
1348,Αρίας,false,false,false,,false
1349,Nino Rota - διασκευή Ν. Δανίκας,false,false,false,,false
1350,Ευάγγ. Πιτσιλαδής,false,false,false,,false
